feature,importance_rf,importance_xgb
V17,0.17032464398288696,0.014574676
V14,0.13636330229328408,0.5485254
V12,0.13332605926400004,0.0312385
V10,0.07407348012797395,0.020299636
V16,0.07179221419070769,0.009351344
V11,0.045277296058152394,0.012625489
V9,0.031126732639842256,0.014273952
V4,0.030496322139884714,0.049039226
V18,0.028156246497012868,0.014141919
V7,0.02462712913531723,0.011846515
V26,0.019623968184037242,0.012490157
V3,0.01952527229274754,0.01608644
V21,0.01865555170317021,0.006431872
V1,0.01533281421580337,0.01778312
V2,0.014775287960688928,0.01378544
V6,0.01345142333626812,0.0057434156
Time,0.01303319816457738,0.014766812
V27,0.01298930249537962,0.008757361
V20,0.012957454700041398,0.0118441675
V8,0.012563914023032861,0.031132286
V22,0.012268038274288507,0.013356647
Amount,0.012020765378241913,0.019610066
V15,0.011887561524120295,0.0107362745
V19,0.010361681323055528,0.01756001
V28,0.010268819033349077,0.009061001
V13,0.010175162409178711,0.020150343
V5,0.009921571390587816,0.009476539
V23,0.008443319989619771,0.014846205
V24,0.008300036062774645,0.008830154
V25,0.00788143120997497,0.011635104
